Problem Number;Problem Change Date+Time;Problem Sub Status;Problem Status;Problem Latest Impact;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-109135791;2006-01-11T15:49:42+01:00;Awaiting Assignment;Queued;High;Org line A2;A2_2;J11 2nd;PROD191;se;INDIA;Minnie
1-109135791;2012-03-15T11:53:52+01:00;In Progress;Accepted;High;Org line A2;A2_2;J11 2nd;PROD191;se;INDIA;Minnie
1-109135791;2012-03-15T11:56:17+01:00;Assigned;Accepted;High;Org line A2;A2_2;J11 2nd;PROD191;se;INDIA;Minnie
1-109135791;2012-03-15T12:09:05+01:00;In Progress;Accepted;High;Org line A2;A2_2;J11 2nd;PROD191;se;INDIA;Minnie
1-109135791;2012-03-15T12:11:33+01:00;Closed;Completed;High;Org line A2;A2_2;J11 2nd;PROD191;se;INDIA;Minnie
1-147898401;2006-11-07T10:00:36+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;2006-11-07T13:05:44+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;2009-12-02T14:24:32+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;2011-09-03T06:09:09+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;2012-01-20T10:23:24+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-147898401;2012-01-20T10:23:27+01:00;Closed;Completed;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
1-165554831;2007-03-20T09:06:25+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;2009-12-02T14:24:31+01:00;Wait;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;2011-09-03T06:10:53+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;2012-01-18T08:52:41+01:00;In Progress;Accepted;Medium;Org line A2;A2_2;M1 2nd;PROD753;cn;China;Carrie
