Problem Number;Problem Latest Impact;Problem Change Date+Time;Problem Status;Problem Sub Status;Problem Involved ST Org line 3;Problem Involved ST Function Div;Problem Involved Owner ST;Product;Country;Problem Involved Action Owner Country;Problem Involved Action Owner First Name
1-147898401;Medium;2006-11-07T10:00:36+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2006-11-07T13:05:44+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2009-12-02T14:24:32+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-147898401;Medium;2011-09-03T06:09:09+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2007-03-20T09:06:25+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2009-12-02T14:24:31+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-165554831;Medium;2011-09-03T06:10:53+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2007-05-10T15:21:54+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2009-12-02T14:24:33+01:00;Accepted;Wait;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-172473423;Low;2011-09-03T06:10:59+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD753;cn;Sweden;Tomas
1-182640781;Medium;2007-07-25T13:21:05+01:00;Accepted;In Progress;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2009-12-02T14:24:32+01:00;Accepted;Wait;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2010-08-25T10:13:01+01:00;Queued;Awaiting Assignment;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2011-09-05T08:24:13+01:00;Accepted;In Progress;Org line A2;A2_2;M1 2nd;PROD681;se;Sweden;Niklas
1-182640781;Medium;2011-11-14T16:10:25+01:00;Accepted;Assigned;Org line A2;A2_2;G167 2nd;PROD681;se;Sweden;Niklas
