case,event,startTime,completeTime
b1_113,Loan  application received,30:00.0,30:00.0
b1_113,Check  application  form completeness,55:28.9,55:28.9
b1_113,Appraise property,58:18.7,58:18.7
b1_113,Check credit history,12:06.9,12:06.9
b1_113,Assess loan risk,22:58.5,22:58.5
b1_113,Assess eligibility,30:07.1,30:07.1
b1_113,Reject application,36:39.1,36:39.1
b1_113,Loan application rejected,36:39.1,36:39.1
b1_12,Loan  application received,00:00.0,00:00.0
b1_12,Check  application  form completeness,13:41.2,13:41.2
b1_12,Check credit history,16:23.6,16:23.6
b1_12,Assess loan risk,25:12.6,25:12.6
b1_12,Appraise property,38:52.0,38:52.0
b1_12,Assess eligibility,42:38.1,42:38.1
b1_12,Prepare acceptance pack,03:52.7,03:52.7
b1_12,Check if home insurance quote is requested,42:27.7,42:27.7
b1_12,Send home insurance quote,04:03.5,04:03.5
b1_12,Verify repayment agreement,21:40.4,21:40.4
b1_12,Cancel application,26:42.1,26:42.1
b1_12,Loan  application canceled,26:42.1,26:42.1
b1_84,Loan  application received,00:00.0,00:00.0
b1_84,Check  application  form completeness,13:39.5,13:39.5
b1_84,Check credit history,21:56.2,21:56.2
b1_84,Assess loan risk,35:44.8,35:44.8
b1_84,Appraise property,45:24.8,45:24.8
b1_84,Assess eligibility,45:55.7,45:55.7
b1_84,Reject application,33:34.5,33:34.5
b1_84,Loan application rejected,33:34.5,33:34.5
b1_154,Loan  application received,00:00.0,00:00.0
b1_154,Check  application  form completeness,14:55.7,14:55.7
b1_154,Check credit history,23:26.7,23:26.7
b1_154,Appraise property,37:22.8,37:22.8
b1_154,Assess loan risk,44:52.2,44:52.2
b1_154,Assess eligibility,59:34.4,59:34.4
b1_154,Reject application,21:13.0,21:13.0
b1_154,Loan application rejected,21:13.0,21:13.0
b1_2,Loan  application received,00:00.0,00:00.0
b1_2,Check  application  form completeness,21:05.5,21:05.5
b1_2,Appraise property,35:44.8,35:44.8
b1_2,Check credit history,06:32.3,06:32.3
b1_2,Assess loan risk,38:06.7,38:06.7
b1_2,Assess eligibility,07:09.9,07:09.9
b1_2,Prepare acceptance pack,19:34.0,19:34.0
b1_2,Check if home insurance quote is requested,30:36.1,30:36.1
b1_2,Send acceptance pack,20:16.2,20:16.2
b1_2,Verify repayment agreement,22:23.4,22:23.4
b1_2,Cancel application,22:47.8,22:47.8
b1_2,Loan  application canceled,22:47.8,22:47.8
b1_249,Loan  application received,30:00.0,30:00.0
b1_249,Check  application  form completeness,54:30.8,54:30.8
b1_249,Appraise property,56:47.8,56:47.8
b1_249,Check credit history,56:59.6,56:59.6
b1_249,Assess loan risk,06:27.2,06:27.2
b1_249,Assess eligibility,19:07.0,19:07.0
b1_249,Reject application,08:08.4,08:08.4
b1_249,Loan application rejected,08:08.4,08:08.4
b1_341,Loan  application received,30:00.0,30:00.0
b1_341,Check  application  form completeness,09:21.8,09:21.8
b1_341,Appraise property,16:38.5,16:38.5
b1_341,Check credit history,36:56.6,36:56.6
b1_341,Assess loan risk,16:05.0,16:05.0
b1_341,Assess eligibility,32:00.3,32:00.3
b1_341,Reject application,49:58.3,49:58.3
b1_341,Loan application rejected,49:58.3,49:58.3
b1_427,Loan  application received,30:00.0,30:00.0
b1_427,Check  application  form completeness,07:26.7,07:26.7
b1_427,Check credit history,12:25.9,12:25.9
b1_427,Appraise property,16:57.3,16:57.3
b1_427,Assess loan risk,45:26.3,45:26.3
b1_427,Assess eligibility,23:28.0,23:28.0
b1_427,Prepare acceptance pack,18:53.6,18:53.6
b1_427,Check if home insurance quote is requested,57:47.5,57:47.5
b1_427,Send acceptance pack,27:17.8,27:17.8
b1_427,Verify repayment agreement,15:19.4,15:19.4
b1_427,Cancel application,18:07.8,18:07.8
b1_427,Loan  application canceled,18:07.8,18:07.8
b1_478,Loan  application received,00:00.0,00:00.0
b1_478,Check  application  form completeness,17:20.1,17:20.1
b1_478,Check credit history,10:52.4,10:52.4
b1_478,Appraise property,13:18.2,13:18.2
b1_478,Assess loan risk,20:30.0,20:30.0
b1_478,Assess eligibility,35:57.3,35:57.3
b1_478,Reject application,48:50.8,48:50.8
b1_478,Loan application rejected,48:50.8,48:50.8
b1_15,Loan  application received,30:00.0,30:00.0
b1_15,Check  application  form completeness,37:01.3,37:01.3
b1_15,Appraise property,10:44.7,10:44.7
b1_15,Check credit history,05:59.1,05:59.1
b1_15,Assess loan risk,13:21.0,13:21.0
b1_15,Assess eligibility,10:06.0,10:06.0
b1_15,Prepare acceptance pack,31:09.1,31:09.1
b1_15,Check if home insurance quote is requested,58:16.4,58:16.4
b1_15,Send acceptance pack,19:44.4,19:44.4
b1_15,Verify repayment agreement,41:54.0,41:54.0
b1_15,Approve application,47:38.1,47:38.1
b1_15,Loan  application approved,47:38.1,47:38.1
b1_51,Loan  application received,30:00.0,30:00.0
b1_51,Check  application  form completeness,35:17.0,35:17.0
b1_51,Check credit history,58:51.3,58:51.3
b1_51,Appraise property,20:15.7,20:15.7
b1_51,Assess loan risk,43:08.1,43:08.1
b1_51,Assess eligibility,43:57.0,43:57.0
b1_51,Prepare acceptance pack,01:32.0,01:32.0
b1_51,Check if home insurance quote is requested,06:40.2,06:40.2
b1_51,Send acceptance pack,27:54.4,27:54.4
b1_51,Verify repayment agreement,31:27.5,31:27.5
b1_51,Cancel application,33:23.0,33:23.0
b1_51,Loan  application canceled,33:23.0,33:23.0
b1_206,Loan  application received,00:00.0,00:00.0
b1_206,Check  application  form completeness,08:21.1,08:21.1
b1_206,Appraise property,23:01.1,23:01.1
b1_206,Check credit history,47:01.8,47:01.8
b1_206,Assess loan risk,22:32.6,22:32.6
b1_206,Assess eligibility,55:14.1,55:14.1
b1_206,Prepare acceptance pack,56:00.9,56:00.9
b1_206,Check if home insurance quote is requested,25:23.4,25:23.4
b1_206,Send acceptance pack,46:50.4,46:50.4
b1_206,Verify repayment agreement,53:53.6,53:53.6
b1_206,Approve application,27:54.0,27:54.0
b1_206,Loan  application approved,27:54.0,27:54.0
b1_210,Loan  application received,00:00.0,00:00.0
b1_210,Check  application  form completeness,55:09.9,55:09.9
b1_210,Check credit history,00:39.3,00:39.3
b1_210,Assess loan risk,09:03.4,09:03.4
b1_210,Appraise property,20:48.5,20:48.5
b1_210,Assess eligibility,37:08.7,37:08.7
b1_210,Reject application,47:29.6,47:29.6
b1_210,Loan application rejected,47:29.6,47:29.6
b1_425,Loan  application received,30:00.0,30:00.0
b1_425,Check  application  form completeness,32:39.5,32:39.5
b1_425,Appraise property,19:47.4,19:47.4
b1_425,Check credit history,33:59.8,33:59.8
b1_425,Assess loan risk,35:12.4,35:12.4
b1_425,Assess eligibility,43:12.1,43:12.1
b1_425,Reject application,44:48.9,44:48.9
b1_425,Loan application rejected,44:48.9,44:48.9
b1_100,Loan  application received,00:00.0,00:00.0
b1_100,Check  application  form completeness,00:05.7,00:05.7
b1_100,Appraise property,00:39.5,00:39.5
b1_100,Check credit history,01:56.2,01:56.2
b1_100,Assess loan risk,09:26.1,09:26.1
b1_100,Assess eligibility,02:15.9,02:15.9
b1_100,Reject application,21:35.0,21:35.0
b1_100,Loan application rejected,21:35.0,21:35.0
b1_95,Loan  application received,30:00.0,30:00.0
b1_95,Check  application  form completeness,53:34.7,53:34.7
b1_95,Appraise property,23:00.4,23:00.4
b1_95,Check credit history,31:45.2,31:45.2
b1_95,Assess loan risk,02:26.7,02:26.7
b1_95,Assess eligibility,52:12.0,52:12.0
b1_95,Prepare acceptance pack,43:39.4,43:39.4
b1_95,Check if home insurance quote is requested,33:49.0,33:49.0
b1_95,Send acceptance pack,44:12.9,44:12.9
b1_95,Verify repayment agreement,32:47.1,32:47.1
b1_95,Cancel application,27:23.0,27:23.0
b1_95,Loan  application canceled,27:23.0,27:23.0
b1_497,Loan  application received,30:00.0,30:00.0
b1_497,Check  application  form completeness,34:36.8,34:36.8
b1_497,Check credit history,59:13.6,59:13.6
b1_497,Assess loan risk,59:42.1,59:42.1
b1_497,Appraise property,33:30.1,33:30.1
b1_497,Assess eligibility,34:14.7,34:14.7
b1_497,Reject application,11:42.2,11:42.2
b1_497,Loan application rejected,11:42.2,11:42.2
b1_431,Loan  application received,30:00.0,30:00.0
b1_431,Check  application  form completeness,56:42.8,56:42.8
b1_431,Appraise property,36:09.7,36:09.7
b1_431,Check credit history,49:20.3,49:20.3
b1_431,Assess loan risk,20:05.9,20:05.9
b1_431,Assess eligibility,44:48.6,44:48.6
b1_431,Prepare acceptance pack,30:21.9,30:21.9
b1_431,Check if home insurance quote is requested,53:47.0,53:47.0
b1_431,Send home insurance quote,51:14.0,51:14.0
b1_431,Verify repayment agreement,37:48.6,37:48.6
b1_431,Cancel application,42:45.5,42:45.5
b1_431,Loan  application canceled,42:45.5,42:45.5
b1_20,Loan  application received,00:00.0,00:00.0
b1_20,Check  application  form completeness,20:05.8,20:05.8
b1_20,Appraise property,24:48.2,24:48.2
b1_20,Check credit history,29:23.8,29:23.8
b1_20,Assess loan risk,12:05.8,12:05.8
b1_20,Assess eligibility,15:31.3,15:31.3
b1_20,Reject application,27:51.0,27:51.0
b1_20,Loan application rejected,27:51.0,27:51.0
b1_283,Loan  application received,30:00.0,30:00.0
b1_283,Check  application  form completeness,32:12.5,32:12.5
b1_283,Check credit history,05:36.4,05:36.4
b1_283,Appraise property,39:37.1,39:37.1
b1_283,Assess loan risk,22:16.1,22:16.1
b1_283,Assess eligibility,10:28.9,10:28.9
b1_283,Prepare acceptance pack,53:38.3,53:38.3
b1_283,Check if home insurance quote is requested,34:57.7,34:57.7
b1_283,Send home insurance quote,02:16.5,02:16.5
b1_283,Verify repayment agreement,19:44.7,19:44.7
b1_283,Cancel application,55:24.7,55:24.7
b1_283,Loan  application canceled,55:24.7,55:24.7
b1_388,Loan  application received,00:00.0,00:00.0
b1_388,Check  application  form completeness,29:41.3,29:41.3
b1_388,Return application back to applicant,30:37.5,30:37.5
b1_388,Receive updated application,46:12.1,46:12.1
b1_388,Check  application  form completeness,24:41.7,24:41.7
b1_388,Check credit history,34:00.2,34:00.2
b1_388,Assess loan risk,34:11.1,34:11.1
b1_388,Appraise property,09:00.2,09:00.2
b1_388,Assess eligibility,45:20.2,45:20.2
b1_388,Reject application,48:53.2,48:53.2
b1_388,Loan application rejected,48:53.2,48:53.2
b1_88,Loan  application received,00:00.0,00:00.0
b1_88,Check  application  form completeness,17:26.1,17:26.1
b1_88,Check credit history,37:46.2,37:46.2
b1_88,Appraise property,42:40.8,42:40.8
b1_88,Assess loan risk,52:49.9,52:49.9
b1_88,Assess eligibility,05:28.0,05:28.0
b1_88,Prepare acceptance pack,07:42.3,07:42.3
b1_88,Check if home insurance quote is requested,32:21.7,32:21.7
b1_88,Send home insurance quote,29:13.0,29:13.0
b1_88,Verify repayment agreement,30:41.3,30:41.3
b1_88,Cancel application,32:51.1,32:51.1
b1_88,Loan  application canceled,32:51.1,32:51.1
b1_313,Loan  application received,30:00.0,30:00.0
b1_313,Check  application  form completeness,04:29.5,04:29.5
b1_313,Appraise property,15:13.7,15:13.7
b1_313,Check credit history,18:07.5,18:07.5
b1_313,Assess loan risk,40:17.9,40:17.9
b1_313,Assess eligibility,19:53.2,19:53.2
b1_313,Prepare acceptance pack,37:44.9,37:44.9
b1_313,Check if home insurance quote is requested,04:38.6,04:38.6
b1_313,Send acceptance pack,57:20.5,57:20.5
b1_313,Verify repayment agreement,06:00.9,06:00.9
b1_313,Cancel application,17:37.6,17:37.6
b1_313,Loan  application canceled,17:37.6,17:37.6
b1_366,Loan  application received,00:00.0,00:00.0
b1_366,Check  application  form completeness,24:48.7,24:48.7
b1_366,Return application back to applicant,13:20.6,13:20.6
b1_366,Receive updated application,19:55.6,19:55.6
b1_366,Check  application  form completeness,42:04.9,42:04.9
b1_366,Return application back to applicant,50:12.5,50:12.5
b1_366,Receive updated application,19:20.1,19:20.1
b1_366,Check  application  form completeness,15:52.8,15:52.8
b1_366,Appraise property,19:07.1,19:07.1
b1_366,Check credit history,24:26.0,24:26.0
b1_366,Assess loan risk,49:51.0,49:51.0
b1_366,Assess eligibility,55:40.7,55:40.7
b1_366,Prepare acceptance pack,31:53.7,31:53.7
b1_366,Check if home insurance quote is requested,33:02.9,33:02.9
b1_366,Send home insurance quote,45:28.9,45:28.9
b1_366,Verify repayment agreement,15:36.3,15:36.3
b1_366,Cancel application,54:51.2,54:51.2
b1_366,Loan  application canceled,54:51.2,54:51.2
b1_351,Loan  application received,30:00.0,30:00.0
b1_351,Check  application  form completeness,39:29.8,39:29.8
b1_351,Check credit history,46:32.4,46:32.4
b1_351,Assess loan risk,14:28.3,14:28.3
b1_351,Appraise property,38:55.0,38:55.0
b1_351,Assess eligibility,47:45.3,47:45.3
b1_351,Reject application,10:04.4,10:04.4
b1_351,Loan application rejected,10:04.4,10:04.4
b1_227,Loan  application received,30:00.0,30:00.0
b1_227,Check  application  form completeness,26:15.0,26:15.0
b1_227,Appraise property,30:05.6,30:05.6
b1_227,Check credit history,14:58.5,14:58.5
b1_227,Assess loan risk,39:27.1,39:27.1
b1_227,Assess eligibility,57:57.3,57:57.3
b1_227,Prepare acceptance pack,59:48.8,59:48.8
b1_227,Check if home insurance quote is requested,22:43.5,22:43.5
b1_227,Send acceptance pack,38:10.4,38:10.4
b1_227,Verify repayment agreement,03:20.6,03:20.6
b1_227,Approve application,21:15.5,21:15.5
b1_227,Loan  application approved,21:15.5,21:15.5
b1_346,Loan  application received,00:00.0,00:00.0
b1_346,Check  application  form completeness,30:06.1,30:06.1
b1_346,Return application back to applicant,33:27.7,33:27.7
b1_346,Receive updated application,48:29.4,48:29.4
b1_346,Check  application  form completeness,19:11.2,19:11.2
b1_346,Appraise property,01:05.3,01:05.3
b1_346,Check credit history,08:43.8,08:43.8
b1_346,Assess loan risk,14:37.8,14:37.8
b1_346,Assess eligibility,29:02.0,29:02.0
b1_346,Reject application,07:11.6,07:11.6
b1_346,Loan application rejected,07:11.6,07:11.6
b1_404,Loan  application received,00:00.0,00:00.0
b1_404,Check  application  form completeness,09:06.4,09:06.4
b1_404,Return application back to applicant,13:14.6,13:14.6
b1_404,Receive updated application,42:22.5,42:22.5
b1_404,Check  application  form completeness,15:23.2,15:23.2
b1_404,Appraise property,54:22.4,54:22.4
b1_404,Check credit history,24:39.8,24:39.8
b1_404,Assess loan risk,44:45.8,44:45.8
b1_404,Assess eligibility,45:02.3,45:02.3
b1_404,Prepare acceptance pack,51:27.1,51:27.1
b1_404,Check if home insurance quote is requested,06:47.2,06:47.2
b1_404,Send acceptance pack,14:27.8,14:27.8
b1_404,Verify repayment agreement,21:15.5,21:15.5
b1_404,Cancel application,53:09.3,53:09.3
b1_404,Loan  application canceled,53:09.3,53:09.3
b1_254,Loan  application received,00:00.0,00:00.0
b1_254,Check  application  form completeness,09:41.0,09:41.0
b1_254,Appraise property,28:19.0,28:19.0
b1_254,Check credit history,30:36.2,30:36.2
b1_254,Assess loan risk,00:49.8,00:49.8
b1_254,Assess eligibility,16:26.3,16:26.3
b1_254,Reject application,19:03.0,19:03.0
b1_254,Loan application rejected,19:03.0,19:03.0
b1_467,Loan  application received,30:00.0,30:00.0
b1_467,Check  application  form completeness,13:00.0,13:00.0
b1_467,Check credit history,19:46.3,19:46.3
b1_467,Appraise property,42:57.1,42:57.1
b1_467,Assess loan risk,48:33.3,48:33.3
b1_467,Assess eligibility,02:30.0,02:30.0
b1_467,Reject application,34:34.7,34:34.7
b1_467,Loan application rejected,34:34.7,34:34.7
b1_19,Loan  application received,30:00.0,30:00.0
b1_19,Check  application  form completeness,33:46.1,33:46.1
b1_19,Appraise property,35:01.1,35:01.1
b1_19,Check credit history,12:31.6,12:31.6
b1_19,Assess loan risk,23:07.3,23:07.3
b1_19,Assess eligibility,45:57.1,45:57.1
b1_19,Prepare acceptance pack,19:11.9,19:11.9
b1_19,Check if home insurance quote is requested,44:32.6,44:32.6
b1_19,Send acceptance pack,08:29.1,08:29.1
b1_19,Verify repayment agreement,12:02.0,12:02.0
b1_19,Cancel application,22:32.9,22:32.9
b1_19,Loan  application canceled,22:32.9,22:32.9
b1_239,Loan  application received,30:00.0,30:00.0
b1_239,Check  application  form completeness,58:52.6,58:52.6
b1_239,Check credit history,09:17.9,09:17.9
b1_239,Assess loan risk,28:02.1,28:02.1
b1_239,Appraise property,50:40.0,50:40.0
b1_239,Assess eligibility,14:28.3,14:28.3
b1_239,Reject application,31:54.7,31:54.7
